[p2, 15, 4, 0]	Lunk Harp
[p2, 16, 4, 0]	ShadeOpale
[p2, 17, 4, 0]	Eng Organ
[p2, 18, 4, 0]	BlueZorgan
[p2, 19, 4, 0]	SftPipeOrg
[p2, 20, 4, 0]	MellowPump
[p2, 21, 4, 0]	One Accord
[p2, 22, 4, 0]	BzzHarmnca
[p2, 23, 4, 0]	SynAccrdn
[p2, 24, 4, 0]	Nylon&Oohs
[p2, 25, 4, 0]	FolkBarGtr
[p2, 26, 4, 0]	GuitarPoem
[p2, 27, 4, 0]	Royal Coil
[p2, 28, 4, 0]	TreMellow
[p2, 29, 4, 0]	CoralLezli
[p2, 30, 4, 0]	HeroHarmnx
[p2, 31, 4, 0]	Strummers
[g1]		Group E2
[p2, 32, 4, 0]	ArndsHouse
[p2, 33, 4, 0]	Octaver
[p2, 34, 4, 0]	007 Bass
[p2, 35, 4, 0]	Fretlissyn
[p2, 36, 4, 0]	Dist Bass
[p2, 37, 4, 0]	Slappers
[p2, 38, 4, 0]	Dee X Bass
[p2, 39, 4, 0]	PsychoBass
[p2, 40, 4, 0]	Fusion Vln
[p2, 41, 4, 0]	Fusion Vla
[p2, 42, 4, 0]	Dark Cello
[p2, 43, 4, 0]	Kontrabass
[p2, 44, 4, 0]	J Str Trem
[p2, 45, 4, 0]	SpacePluck
[p2, 46, 4, 0]	Waterfalls
[p2, 47, 4, 0]	Strng&Timp
[p2, 48, 4, 0]	OctoString
[p2, 49, 4, 0]	Orchestrar
[p2, 50, 4, 0]	VintageStr
[p2, 51, 4, 0]	Obersphere
[p2, 52, 4, 0]	Afterglow
[p2, 53, 4, 0]	Sunsrizer
[p2, 54, 4, 0]	GlideVoxMW
[p2, 55, 4, 0]	Deja Hitz
[p2, 56, 4, 0]	TrumpletMW
[p2, 57, 4, 0]	Fanfare
[p2, 58, 4, 0]	ClsclHorns
[p2, 59, 4, 0]	Mute&Flute
[p2, 60, 4, 0]	Documentar
[p2, 61, 4, 0]	BriteBrass
[p2, 62, 4, 0]	BeBopHorns
[p2, 63, 4, 0]	Kick Brass
[g1]		Group E3
[p2, 64, 4, 0]	Pastorale
[p2, 65, 4, 0]	Sexy Sax
[p2, 66, 4, 0]	Sax on Wax
[p2, 67, 4, 0]	ThoseSaxes
[p2, 68, 4, 0]	Wind Ensmb
[p2, 69, 4, 0]	Orchestr8
[p2, 70, 4, 0]	Oddsemble
[p2, 71, 4, 0]	Cartoonin'
[p2, 72, 4, 0]	TronFlutes
[p2, 73, 4, 0]	ChiffFlute
[p2, 74, 4, 0]	The Bosun
[p2, 75, 4, 0]	Shamanixst
